# tracking_debug.log — dead reckoning + waypoint state
# Each line: F<idx> | speed_raw=<raw> spd=<m/s> | imu_yaw=<deg> | raw=(<x>,<y>,<yaw>) matched=(<x>,<y>,<yaw>) | wp=<idx>/<total> tgt=<idx> wp_xy=(<x>,<y>) dist=<m> | err=<m> hdg=<deg> mm=<m> latcorr=<m> lane=<0/1> | zone=<attr> | dt=<ms>
F000010 | speed_raw=None spd=0.0cm/s src=none (enc_age=never, cmd_age=never) | imu✗NO_IMU yaw=90.2° (seeded_from_track, age=never) steer=0.0° | raw=(0.5280,2.3850,90.2°) matched=(0.5280,2.3850,105.5°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.0000m latcorr=+0.0000m raw_lat=+0.0000m lane=0 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=20.6ms
F000020 | speed_raw=None spd=0.0cm/s src=none (enc_age=never, cmd_age=never) | imu✗NO_IMU yaw=90.2° (seeded_from_track, age=never) steer=0.0° | raw=(0.5280,2.3850,90.2°) matched=(0.5280,2.3850,105.5°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.0000m latcorr=+0.0000m raw_lat=+0.0000m lane=0 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=20.5ms
F000030 | speed_raw=None spd=0.0cm/s src=none (enc_age=never, cmd_age=never) | imu✗NO_IMU yaw=90.2° (seeded_from_track, age=never) steer=0.0° | raw=(0.5280,2.3850,90.2°) matched=(0.5280,2.3850,105.5°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.0000m latcorr=+0.0000m raw_lat=+0.0000m lane=0 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=20.9ms
F000040 | speed_raw=None spd=0.0cm/s src=none (enc_age=never, cmd_age=never) | imu✓ raw=32.8° corr=155.7° (offset=122.9°) pitch=0.187 roll=-4.312 (age=0.1s) steer=0.0° | raw=(0.5280,2.3850,90.2°) matched=(0.5280,2.3850,105.5°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.0000m latcorr=+0.0000m raw_lat=+0.0000m lane=0 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=20.5ms
F000050 | speed_raw=None spd=0.0cm/s src=none (enc_age=never, cmd_age=never) | imu✓ raw=32.8° corr=155.7° (offset=122.9°) pitch=0.187 roll=-4.312 (age=0.1s) steer=0.0° | raw=(0.5280,2.3850,90.2°) matched=(0.5280,2.3850,105.5°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.0000m latcorr=+0.0000m raw_lat=+0.0000m lane=0 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=20.5ms
F000060 | speed_raw=None spd=0.0cm/s src=none (enc_age=never, cmd_age=never) | imu✓ raw=32.8° corr=155.7° (offset=122.9°) pitch=0.187 roll=-4.312 (age=0.0s) steer=0.0° | raw=(0.5280,2.3850,90.2°) matched=(0.5280,2.3850,105.5°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.0000m latcorr=+0.0000m raw_lat=+0.0000m lane=0 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=21.5ms
F000070 | speed_raw=None spd=0.0cm/s src=none (enc_age=never, cmd_age=never) | imu✓ raw=32.8° corr=155.7° (offset=122.9°) pitch=0.187 roll=-4.312 (age=0.1s) steer=0.0° | raw=(0.5280,2.3850,90.2°) matched=(0.5280,2.3850,105.5°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.0000m latcorr=+0.0000m raw_lat=+0.0000m lane=0 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=20.5ms
F000080 | speed_raw=None spd=0.0cm/s src=none (enc_age=never, cmd_age=never) | imu✓ raw=32.8° corr=155.7° (offset=122.9°) pitch=0.187 roll=-4.312 (age=0.0s) steer=0.0° | raw=(0.5280,2.3850,90.2°) matched=(0.5280,2.3850,105.5°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.0000m latcorr=+0.0000m raw_lat=+0.0000m lane=0 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=21.3ms
F000090 | speed_raw=None spd=0.0cm/s src=none (enc_age=never, cmd_age=never) | imu✓ raw=32.8° corr=155.7° (offset=122.9°) pitch=0.187 roll=-4.312 (age=0.1s) steer=0.0° | raw=(0.5280,2.3850,90.2°) matched=(0.5280,2.3850,105.5°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.0000m latcorr=+0.0000m raw_lat=+0.0000m lane=0 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=20.5ms
F000100 | speed_raw=None spd=0.0cm/s src=none (enc_age=never, cmd_age=never) | imu✓ raw=32.8° corr=155.7° (offset=122.9°) pitch=0.187 roll=-4.312 (age=0.1s) steer=0.0° | raw=(0.5280,2.3850,90.2°) matched=(0.5280,2.3850,105.5°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.0000m latcorr=+0.0000m raw_lat=+0.0000m lane=0 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=21.2ms
F000110 | speed_raw=None spd=0.0cm/s src=none (enc_age=never, cmd_age=never) | imu✓ raw=32.8° corr=155.7° (offset=122.9°) pitch=0.187 roll=-4.312 (age=0.0s) steer=0.0° | raw=(0.5280,2.3850,90.2°) matched=(0.5280,2.3850,105.5°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.0000m latcorr=+0.0000m raw_lat=+0.0000m lane=0 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=20.5ms
F000120 | speed_raw=None spd=0.0cm/s src=none (enc_age=never, cmd_age=never) | imu✓ raw=32.8° corr=155.7° (offset=122.9°) pitch=0.187 roll=-4.312 (age=0.1s) steer=0.0° | raw=(0.5280,2.3850,90.2°) matched=(0.5280,2.3850,105.5°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.0000m latcorr=+0.0000m raw_lat=+0.0000m lane=0 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=22.1ms
F000130 | speed_raw=None spd=0.0cm/s src=none (enc_age=never, cmd_age=never) | imu✓ raw=32.8° corr=155.7° (offset=122.9°) pitch=0.187 roll=-4.312 (age=0.0s) steer=0.0° | raw=(0.5280,2.3850,90.2°) matched=(0.5280,2.3850,105.5°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.0000m latcorr=+0.0000m raw_lat=+0.0000m lane=0 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=20.8ms
F000140 | speed_raw=None spd=0.0cm/s src=none (enc_age=never, cmd_age=never) | imu✓ raw=32.8° corr=155.7° (offset=122.9°) pitch=0.187 roll=-4.312 (age=0.1s) steer=0.0° | raw=(0.5280,2.3850,90.2°) matched=(0.5280,2.3850,105.5°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.0000m latcorr=+0.0000m raw_lat=+0.0000m lane=0 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=20.7ms
F000150 | speed_raw=None spd=0.0cm/s src=none (enc_age=never, cmd_age=never) | imu✓ raw=32.8° corr=155.7° (offset=122.9°) pitch=0.187 roll=-4.312 (age=0.0s) steer=0.0° | raw=(0.5280,2.3850,90.2°) matched=(0.5280,2.3850,105.5°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.0000m latcorr=+0.0000m raw_lat=+0.0000m lane=0 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=20.6ms
F000160 | speed_raw=None spd=0.0cm/s src=none (enc_age=never, cmd_age=never) | imu✓ raw=32.8° corr=155.7° (offset=122.9°) pitch=0.187 roll=-4.312 (age=0.0s) steer=0.0° | raw=(0.5280,2.3850,90.2°) matched=(0.5280,2.3850,105.5°) | wp=0/0 tgt=0 wp_xy=(nan,nan) dist=nanm | err=+0.0000m hdg=+0.00° mm=0.0000m latcorr=+0.0000m raw_lat=+0.0000m lane=0 kappa=+0.000/m ff=+0.0° | zone=normal route=none curr=None next=None man=none | cam_yaw_hint=none | dt=24.1ms
